ID	I1	S1	I2	S2	inc_len	skp_len	psi1	psi2	delta.mle	post_pr
1225	160	0	169	6	180	90	1	0.934	-0.0663	0.4367
15829	52	58	12	41	180	90	0.31	0.128	-0.1819	0.8867
20347	1084	930	371	615	180	90	0.368	0.232	-0.1365	1
21374	4105	118	292	54	169	90	0.949	0.742	-0.2065	1
24817	177	275	263	741	143	90	0.288	0.183	-0.1057	0.974
32815	624	564	549	1261	180	90	0.356	0.179	-0.1774	1
43143	155	332	22	341	180	90	0.189	0.031	-0.158	1
46548	1685	4040	216	1752	180	90	0.173	0.058	-0.1145	1
47076	224	10	66	17	135	90	0.937	0.721	-0.2159	0.9947
53982	10	26	0	7	180	90	0.161	0	-0.1613	0.722
54531	48	410	1	456	180	90	0.055	0.001	-0.0542	0.3767
56197	103	228	35	129	174	90	0.189	0.123	-0.0663	0.3893
56520	245	1	73	8	180	90	0.992	0.82	-0.1717	0.9747
59021	145	38	49	45	148	90	0.699	0.398	-0.3005	0.998
64117	81	2	225	15	180	90	0.953	0.882	-0.0706	0.2387
75195	423	430	205	336	146	90	0.377	0.273	-0.1042	0.9347
77687	61	364	50	777	163	90	0.085	0.034	-0.0504	0.336
82439	15236	319	6774	834	180	90	0.96	0.802	-0.1574	1
96038	170	825	31	1069	147	90	0.112	0.017	-0.0946	1
97467	44	132	27	236	180	90	0.143	0.054	-0.0887	0.8307
97995	137	640	98	624	180	90	0.097	0.073	-0.0239	7e-04
101083	16	0	37	7	180	90	1	0.725	-0.2745	0.768
102857	293	384	178	576	180	90	0.276	0.134	-0.1423	1
104369	3	0	38	13	180	90	1	0.594	-0.4062	0.4907
105272	2314	56	199	14	180	90	0.954	0.877	-0.0772	0.5987
105390	1533	42	759	60	180	90	0.948	0.863	-0.0846	0.9427
106075	237	262	253	595	180	90	0.311	0.175	-0.1361	0.9993
106336	24	22	4	16	153	90	0.391	0.128	-0.2627	0.78
110548	660	21	511	40	180	90	0.94	0.865	-0.0755	0.652
111671	93	193	35	534	180	90	0.194	0.032	-0.1624	1
117730	23	0	37	14	180	90	1	0.569	-0.4308	0.9773
119425	32	205	1	159	136	90	0.094	0.004	-0.0895	0.9613
121313	1379	41	400	20	180	90	0.944	0.909	-0.0348	0.092
128468	95	328	31	323	180	90	0.126	0.046	-0.0807	0.946
