ENSG00000142534	RPS11
ENSG00000132591	ERAL1
ENSG00000124228	DDX27
ENSG00000124795	DEK
ENSG00000100902	PSMA6
ENSG00000169871	TRIM56
ENSG00000206557	TRIM71
ENSG00000151461	UPF2
ENSG00000145982	FARS2
ENSG00000137760	ALKBH8
ENSG00000218891	ZNF579
ENSG00000047315	POLR2B
ENSG00000138442	WDR12
ENSG00000117133	RPF1
ENSG00000074071	MRPS34
ENSG00000108312	UBTF
ENSG00000096401	CDC5L
ENSG00000071626	DAZAP1
ENSG00000135097	MSI1
ENSG00000153944	MSI2
ENSG00000120948	TARDBP
ENSG00000043514	TRIT1
ENSG00000171421	MRPL36
ENSG00000108424	KPNB1
ENSG00000124201	ZNFX1
ENSG00000124380	SNRNP27
ENSG00000076067	RBMS2
ENSG00000153250	RBMS1
ENSG00000144642	RBMS3
ENSG00000011376	LARS2
ENSG00000080608	KIAA0020
ENSG00000078328	RBFOX1
ENSG00000100320	RBFOX2
ENSG00000095485	CWF19L1
ENSG00000152404	CWF19L2
ENSG00000065548	ZC3H15
ENSG00000196365	LONP1
ENSG00000138231	DBR1
ENSG00000067533	RRP15
ENSG00000240563	L1TD1
ENSG00000169251	NMD3
ENSG00000154548	SRSF12
ENSG00000161547	SRSF2
ENSG00000171490	RSL1D1
ENSG00000132676	DAP3
ENSG00000137513	NARS2
ENSG00000119707	RBM25
ENSG00000099817	POLR2E
ENSG00000132773	TOE1
ENSG00000123297	TSFM
ENSG00000047410	TPR
ENSG00000124214	STAU1
ENSG00000040341	STAU2
ENSG00000121486	TRMT1L
ENSG00000165819	METTL3
ENSG00000076043	REXO2
ENSG00000172590	MRPL52
ENSG00000065183	WDR3
ENSG00000158435	CNOT11
ENSG00000087995	METTL2A
ENSG00000165055	METTL2B
ENSG00000162664	ZNF326
ENSG00000105127	AKAP8
ENSG00000011243	AKAP8L
ENSG00000164587	RPS14
ENSG00000066044	ELAVL1
ENSG00000107105	ELAVL2
ENSG00000196361	ELAVL3
ENSG00000162374	ELAVL4
ENSG00000100941	PNN
ENSG00000183258	DDX41
ENSG00000105576	TNPO2
ENSG00000083312	TNPO1
ENSG00000169972	PUSL1
ENSG00000184898	RBM43
ENSG00000197114	ZGPAT
ENSG00000139218	SCAF11
ENSG00000168883	USP39
ENSG00000172809	RPL38
ENSG00000134440	NARS
ENSG00000105193	RPS16
ENSG00000104859	CLASRP
ENSG00000170889	RPS9
ENSG00000100038	TOP3B
ENSG00000170935	NCBP2L
ENSG00000114503	NCBP2
ENSG00000105771	SMG9
ENSG00000122687	FTSJ2
ENSG00000136271	DDX56
ENSG00000106344	RBM28
ENSG00000183520	UTP11L
ENSG00000188846	RPL14
ENSG00000145592	RPL37
ENSG00000082516	GEMIN5
ENSG00000133606	MKRN1
ENSG00000075975	MKRN2
ENSG00000179455	MKRN3
ENSG00000084092	NOA1
ENSG00000254093	PINX1
ENSG00000132541	HRSP12
ENSG00000156414	TDRD9
ENSG00000132153	DHX30
ENSG00000067248	DHX29
ENSG00000163214	DHX57
ENSG00000047188	YTHDC2
ENSG00000174953	DHX36
ENSG00000135829	DHX9
ENSG00000130811	EIF3G
ENSG00000115761	NOL10
ENSG00000164338	UTP15
ENSG00000257218	GATC
ENSG00000070814	TCOF1
ENSG00000147140	NONO
ENSG00000121390	PSPC1
ENSG00000116560	SFPQ
ENSG00000167005	NUDT21
ENSG00000115364	MRPL19
ENSG00000167118	URM1
ENSG00000204822	MRPL53
ENSG00000127993	RBM48
ENSG00000214022	REPIN1
ENSG00000102053	ZC3H12B
ENSG00000149289	ZC3H12C
ENSG00000178199	ZC3H12D
ENSG00000163874	ZC3H12A
ENSG00000126814	TRMT5
ENSG00000166166	TRMT61A
ENSG00000205022	PABPN1L
ENSG00000100836	PABPN1
ENSG00000041802	LSG1
ENSG00000254772	EEF1G
ENSG00000184863	RBM33
ENSG00000178718	RPP25
ENSG00000164967	RPP25L
ENSG00000152464	RPP38
ENSG00000106105	GARS
ENSG00000108591	DRG2
ENSG00000100416	TRMU
ENSG00000134697	GNL2
ENSG00000165934	CPSF2
ENSG00000117877	CD3EAP
ENSG00000115677	HDLBP
ENSG00000187456	RDM1
ENSG00000112578	BYSL
ENSG00000046647	GEMIN8
ENSG00000124571	XPO5
ENSG00000173545	ZNF622
ENSG00000134874	DZIP1
ENSG00000158163	DZIP1L
ENSG00000103342	GSPT1
ENSG00000112339	HBS1L
ENSG00000143486	EIF2D
ENSG00000037897	METTL1
ENSG00000171865	RNASEH1
ENSG00000117174	ZNHIT6
ENSG00000117593	DARS2
ENSG00000125743	SNRPD2
ENSG00000100697	DICER1
ENSG00000088986	DYNLL1
ENSG00000075292	ZNF638
ENSG00000179134	SAMD4B
ENSG00000020577	SAMD4A
ENSG00000137815	RTF1
ENSG00000080802	CNOT4
ENSG00000139546	TARBP2
ENSG00000180228	PRKRA
ENSG00000119392	GLE1
ENSG00000130713	EXOSC2
ENSG00000160075	SSU72
ENSG00000105793	GTPBP10
ENSG00000198755	RPL10A
ENSG00000162639	HENMT1
ENSG00000125676	THOC2
ENSG00000167136	ENDOG
ENSG00000157036	EXOG
ENSG00000116539	ASH1L
ENSG00000174173	TRMT10C
ENSG00000145331	TRMT10A
ENSG00000165275	TRMT10B
ENSG00000243147	MRPL33
ENSG00000138385	SSB
ENSG00000174720	LARP7
ENSG00000143314	MRPL24
ENSG00000219200	RNASEK
ENSG00000152684	PELO
ENSG00000172053	QARS
ENSG00000196497	IPO4
ENSG00000135387	CAPRIN1
ENSG00000110888	CAPRIN2
ENSG00000146453	PNLDC1
ENSG00000140694	PARN
ENSG00000151923	TIAL1
ENSG00000116001	TIA1
ENSG00000168438	CDC40
ENSG00000167962	ZNF598
ENSG00000120158	RCL1
ENSG00000137996	RTCA
ENSG00000204316	MRPL38
ENSG00000189007	ADAT2
ENSG00000163714	U2SURP
ENSG00000141994	DUS3L
ENSG00000176102	CSTF3
ENSG00000116754	SRSF11
